domain,subdomain,source_id,source_doc,source_lang,target_lang,direction,source_text,target_text
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000034,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,full days,vakacavari na na siga ka vakacavari na na siga ka
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000035,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,stop isolating if you,sega ni laurai e dua na sega ni laurai e dua na
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000036,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,have completed days,ivakatakilakila ni covid- e ivakatakilakila ni covid- e
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000037,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,isolation and you have had,na ni siga ni tiko vakatikitiki na ni siga ni tiko vakatikitiki vakatikitikitaki e
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000038,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,no symptoms for at least,vale me na siga
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000039,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,days prior stop isolating if you,cava na
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000040,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,have completed days,veivakatikitikitaki ke sa
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000041,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,isolation and you have had,vakacavari na na siga ka
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000042,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,no symptoms for at least,sega ni laurai e dua na
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000043,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,days prior,ivakatakilakila ni covid- e cava na
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000044,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,severe covid- is a medical emergency,na ni siga ni tiko vakatikitiki veivakatikitikitaki ke sa
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000045,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,self-isolate for self-isolate means:,vakacavari na na siga ka
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000046,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,full days. stay home and do not go if you experience any of the following symptoms: designated covid- health,sega ni laurai e dua na
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000047,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,"you need to self-isolate to work, school, or public facilities in suva-nausori",ivakatakilakila ni covid- e
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000048,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,from the day the first person areas and do not use public • difficulty breathing,na ni siga ni tiko vakatikitiki
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000049,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,in your household started transport or taxis. • persistent pain or pressure in the chest suva,vakatikitikitaki e vale me na ibalebale ni vakatikitikitaki
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000050,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,symptoms and for the next • severe headache for a few days • cwm hospital,na siga. e vale: na covid- e okati me tauvimate bibi vakavuniwai
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000051,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,"full days. • new confusion, inability to wake or stay awake • femat hospital, vodafone arena","e dodonu mo vakatikitikitaki mo tiko ga e vale, kakua ni lako"
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000052,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,"• pale, grey, or blue-coloured skin, lips or nail beds","iko me na siga ke dua na icakacaka, vuli, se na vanua kevaka o vakila e dua na ivakatakilakila qo: na valenibula e qarava ga vakatabakidua na"
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000053,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,"if they do not have symptoms, nausori",lewenivuvale e sa vakila na era sota kina vakalewelevu na covid- e suva-nausori
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000054,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,self-isolate from the day of seek immediate medical treatment • nausori health centre,"tauvimate. lewenivanua, kakua ni vodo se • taqa na icegu"
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000055,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,their test and for the next • wainibokasi hospital,vakayagataka na tolili era vodo • mosi kaukauwa ni sarisari suva
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000056,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,full days.,• mosi kaukauwa ni ulu me vica na siga • valenibula levu e suva
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000057,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,hands face space,kevaka e sega ni laurai e kina na lewenivanua kei na taxi.
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000058,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,call if you require transport assistance to a health facility,"• veilecayaki na vakasama, dredre me vakayadrati • valenibula veivuke femat - vodafone arena"
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000059,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,en,fj,en->fj,a print.indd a print.indd // :: pm// :: pm,dua na ivakatakilakila ni
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000001,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,fj,en,fj->en,----------------------- page -----------------------,----------------------- page -----------------------
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000002,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,fj,en,fj->en,na ivakasala ni tiko vakatikitiki e vale,a guide for self-isolating at home
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000003,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,fj,en,fj->en,(self-isolation) raica na ivakaro ni covid- ena,for more information visit health.gov.fj
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000004,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,fj,en,fj->en,health.gov.fj,"in this example, mika lives with joji, maria and sova. mika is the first case of covid- in this household. he and everyone in the household begin self-isolating from the"
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000005,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,fj,en,fj->en,"o mika na iliuliu ni matavuvale ka ratou lewena o joji, maria, kei sova. o mika e a tauvi koya e liu taumada na covid-. na siga e laurai kina vei mika na ivakatakilakila ni","day mika’s symptoms start (or if he had no symptoms, from the date of his positive test). if someone in the household is at high risk of severe covid- – in particular"
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000006,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,fj,en,fj->en,covid- ratou sa sa tekivu tiko vakatikitiki (self-isolate) taki iratou vakamatavuvale. e dodonu tale ga mo ni tiko vakatikitiki (self-isolate) kevaka ratou sa vakadeitaka mai,"individuals over years, have a chronic illness such as diabetes, heart disease, kidney disease, asthma, are obese, or are pregnant – we need them to visit one of our"
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000007,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,fj,en,fj->en,na tabana ni bula ni ko sa tauvi covid- (positive) dina ga ni o sega ni vakila se laurai vei iko na kena ivakatakilakila. mo ni kila ke dua na lewe ni nomuni matavuvale,"screening clinics and get tested. if you test positive, then we will ensure you are provided immediate care by our health teams."
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000008,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,fj,en,fj->en,"e vakila se laurai vei koya na ivakatakilakila ni covid- ka: sivia na na nodra yabaki ni bula, se tauvi mate ni suka, se mate ni uto, se mate ni ivi, se dau cegu oca, se",mika joji maria sova
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000009,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,fj,en,fj->en,"levulevu sivia, se kunekune, se bukete tiko, me gole se kau vakatotolo sara ki na screening clinic me laki laurai kina. ke vakadeitaki ni sa tauvi covid- e sa na tekivu",symptoms start or no symptoms no symptoms no symptoms
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000010,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,fj,en,fj->en,"sara na nona qaravi vakavuniwai. na ivakatakilakila ni covid- e oka kina na vuvu, savu ni ucu, bi ni ucu, surusuru, wawale, momosi ni yago, se mosi ni ulu, mosi ni",tested positive start isolation as a household start isolation as a household start isolation as a household
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000011,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,fj,en,fj->en,"tilotilo, katakata, coka, wadadamu ni mata, sega ni vakila na ikanakana ni kakana se boica rawa e dua na ka.",start self-isolation contact contact contact
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000012,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,fj,en,fj->en,mika joji maria sova,isolate for
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000013,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,fj,en,fj->en,vakila na ivakatakilakila sega ni tauvimate sega ni tauvimate sega ni tauvimate,continue to self isolate symptoms start full days
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000014,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,fj,en,fj->en,ni mate se vakadeitaki tekivu na tiko vatikitiki me tekivu na tiko vatikitiki me tekivu na tiko vatikitiki me,"start new day self isolation,"
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000015,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,fj,en,fj->en,vua na mate. tekivu na vaka ni tauvimate tiko e dua vaka ni tauvimate tiko e dua vaka ni tauvimate tiko e dua,from the day your continue isolation as this means you start new
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000016,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,fj,en,fj->en,vakatikitikitaki e vale na lewe ni matavuvale na lewe ni matavuvale na lewe ni matavuvale,symptoms started and a household contact day self-isolation from the day
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000017,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,fj,en,fj->en,vakatikitikitaki e,for the next days your symptoms start
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000018,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,fj,en,fj->en,tomani na vakatikitikitaki e tekivu tauvimate vale me na siga,symptoms start
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000019,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,fj,en,fj->en,"vale me na siga, mai na tiko vakatikitiki baleta ni tekivu vou na na siga ni","start new day self isolation,"
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000020,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,fj,en,fj->en,"gauna e tekivu vakilai tauvimate tiko e dua na vakatikitikitaki e vale, ni sa qai",this means you start new
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000021,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,fj,en,fj->en,kina na mate lewe ni matavuvale vakilai na tauvimate,day self-isolation from the day
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000022,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,fj,en,fj->en,tekivu tauvimate,your symptoms start
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000023,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,fj,en,fj->en,tekivu vou na na siga ni,continue to self-isolate continue to self-isolate
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000024,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,fj,en,fj->en,"vakatikitikitaki e vale, ni sa qai",from the day your from the day your
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000025,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,fj,en,fj->en,vakilai na tauvimate,symptoms started and for symptoms started and for
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000026,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,fj,en,fj->en,tomani na vakatikitikitaki e tomani na vakatikitikitaki e,isolate for isolate for the next full days the next full days
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000027,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,fj,en,fj->en,"vale me na siga, mai na vale me na siga, mai na",full days full days
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000028,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,fj,en,fj->en,gauna a tekivu vakilai gauna a tekivu vakilai,isolate for
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000029,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,fj,en,fj->en,vakatikitikitaki e vakatikitikitaki e kina na tauvimate kina na tauvimate,stop isolating if you stop isolating if you full days
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000030,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,fj,en,fj->en,vale me na siga vale me na siga,have completed days have completed days
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000031,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,fj,en,fj->en,vakatikitikitaki e,isolation and you have had isolation and you have had
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000032,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,fj,en,fj->en,cava na cava na vale me na siga,no symptoms for at least no symptoms for at least
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000033,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,fj,en,fj->en,veivakatikitikitaki ke sa veivakatikitikitaki ke sa,days prior days prior isolate for
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000034,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,fj,en,fj->en,vakacavari na na siga ka vakacavari na na siga ka,full days
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000035,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,fj,en,fj->en,sega ni laurai e dua na sega ni laurai e dua na,stop isolating if you
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000036,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,fj,en,fj->en,ivakatakilakila ni covid- e ivakatakilakila ni covid- e,have completed days
medical,a2-home-isolation-poster,medical|a2-home-isolation-poster|000037,A2-Home-Isolation-Poster_ENGLISH.txt||A2-Home-Isolation-Poster_iTAUKEI.txt,fj,en,fj->en,na ni siga ni tiko vakatikitiki na ni siga ni tiko vakatikitiki vakatikitikitaki e,isolation and you have had
