domain,sentence_type,direction,source_text,target_text,alignment_method,quality_flags,notes,source_doc
dictionary,lexeme_gloss,fj_to_en,apositolo,(bible) apostle. araneke! (interj ection) cheat ! (usually at card games). syn. ereneke!,parse_gatty_basic,has_syn,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,asa,(bible) n . ass (the animal). none in fij i.,parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,asipirini,"(eng.) n. aspirin. due to successful marketing, aspirin these days is largely displaced by the omnipresent, more expensive panadol, much used by urban fij ians.",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,au,"i (or) me. pronoun, st person singular. as the subj ect of the sentence it can become oi au or o yau. preceded by a vowel it may become yau: raica e dua vei keirau, o seru se o yau. see one of us (two, exc. the one being talked to), either seru or me. following the particles me or ni it becomes abbreviated as meu and niu, sometimes seen as me ’u and ni ’u. syn. (tonga) au. (colo east, namosi) ’u.",parse_gatty_basic,has_syn;has_see,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,aua,(eng.) n. hour. also spelled auwa. ena veiaua kece at all hours. ena veimama na aua in half an hour.,parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,avisaki,(eng) n. haversack.,parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,avorosa,(slang) n. lazy person who shirks work. this is a man ’s name but how it has come to take on a lazy implication is an elusive story.,parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,fijian,"b. this letter b does not exist in the local language of drekeniwai, near nasavusavu, vanua levu island.",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,ba,". n. edible stalk of taro, considered a delicacy, steamed with the skin removed. lemon and chili",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,pepper are sometimes added,"as a modern touch, not traditional. it is also a special ceremonial gift-food",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,ba,". (rewa) n. taro, colocasia esculentum, an edible root-crop, staple food. syn. dalo. idiom: ba rewa! ""hi beautiful !"" (or) ""hi handsome !"" young fijians are much given to jocular",parse_gatty_basic,has_idiom;has_syn,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,greetings,amongst their own people or related people. and most everybody is related in one way or another. this expression rather dated.,parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,ba,". n. as in ba-ni-ika, fish fence, usually made of reeds. fish are caught by the movement of the tide or coastal currents.",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,iba,". n. game, contention, riddle. veiba quarrel, dispute.",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,iba,". n. guess, bet, belief. noqu iba o seru. my bet is on seru.",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,iba,". n. (archaic) trolling lure, often made of shell, as a samoan and later, tongan artefact. binding",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,was,"done with inner bark of roga (pipturus argentus). trolling was unknown to fijians who fished almost exclusively within the lagoon. ba, bataka v. to deny, argue. veiba, veibataka v. to argue, to argue about (something). veibataki disputed.",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,baba,". n. slope, hill. veibaba hilly slopes. see baba siga.",parse_gatty_basic,has_see,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,baba,". n. ceremonial food taken to a new mother and baby, usually the skinned stems of taro, as a vegetable delicacy. see ba.",parse_gatty_basic,has_see,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,baba-na,"n. cheek (of the face), side, as of the body.",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,vakababa,"v., n. to block (as a fallen tree might block a road), to impede, hold back, prevent. also, to move sideways.",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,babakau,"n. wall of wooden house, also a fried pastry turnover eaten at breakfast.",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,babale,"n. dolphin, a mammal. this word is not commonly known. dolphins are not referred to in any of the well known myths or legends.",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,babani,"(west) n. species of freshwater eel, gymnothorax sp . syn. dadarikai.",parse_gatty_basic,has_syn,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,baba siga,"n. popular nickname for macuata province where, as the name implies, there are sunny slopes.",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,baca,"n. worm, bait, as in fishing, or by extension, an enticement that has duplicitous intention. as a verb, baca, bacana to put our bait, as on a hook. baca ni qele earthworm. idiom: baca kuita a special enticement, very likely to succeed, a ""hooker"" that will win over the",parse_gatty_basic,has_idiom,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,person,"being enticed. (kuita octopus). o iko baca cava ? what bait (enticement) are you using? na baca kuita . something special, that will succeed.",parse_gatty_basic,has_question,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,baca,"(kadavu, lau) sick , illness, injury. syn. tauvimate. baci . a rather formal word, difficult to translate; it approximates “thus”, or “then” or “again”, implying a repetition. the word may be used to indicate a result or consequence of something that is stated earlier. e rawa meu baci cakava tale. i could or would do it again . au baci raica tale mada. i wish i",parse_gatty_basic,has_syn,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,could see it,"again . sa baci voleka tale tiko na gauna ni balolo. once again the time of balolo is close by. sega ni dede, sa baci lesu mai. before long, he/she will return. baci . (vanua levu) penis, male sexual organs. syn. boci (uncircumcised). see qala-na, uti-na.",parse_gatty_basic,has_syn;has_see,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,badamu,n. a common swamp eel in fresh or brackish water. it is reddish brown in colour with a,parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,yellowish,"belly. slow-moving, it is often caught by hand. the presence of algae called de ni duna (""eel excrement"") indicate its presence, and one can see the air holes in the mud. relative to other eels they are slow-moving. the flesh is a little brownish and slightly oily when cooked, usually grilled with the skin on, after gutting, or cooked in a leaf-wrapped package in the earth-oven.",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,bagi,"after all, therefore, thus, then (in the preceding senses), as a matter of course, as an affirmation. this is a rather formal word used by the older generation.",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,bagi,"(lau, kadavu) n. tooth. syn. bati.",parse_gatty_basic,has_syn,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,bagitaka,"(eng.) v. to hit, ""bang"", smash it/him (marbles as a game), a word said by some children but not in general usage.",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,bai,"n. fence, stockade. vakabai fenced. viribai-taka to fence, set up fences. viribai can refer to stockades, ancient war defenses, and is often used figuratively to mean prepare for imminent war or,",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,baivatu,"stone enclosure, stone wall. bainivuaka pig-pen, pig stye. syn. ba ni ika, bavatu, etc.",parse_gatty_basic,has_syn,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,baigani,"(hindi) n. eggplant, an introduced food in areas of indian influence. idiom: e sega ni dua na nomu baigani. it is none of your business. “baini” (hindi “sister”) n. form of address speaking to a mature indian woman. “baiya” (hindi “brother”) n. form of address to an indian man.",parse_gatty_basic,has_idiom,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,baka,"n. very large native tree, ficus obliqua, with drooping branches and hanging roots. growth can start",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,as,"an epiphyte, and smother the mother tree. believed formerly to be associated with spirits. they are",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,conspicuous,"by the queens road near navua. inner bark formerly used for cloth when masi not available. white latex has been used to entrap birds. fruits are a fig, maturing to yellow orange, then red, throughout the year. often confused with f. prolix, an introduced, similar, sacred tree of india,",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,which,"has fruits that turn black while f . obliqua fruits turn yellow, orange and red, and f. obliqua",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,fruits,"all year round. there is confusion as to which species is referred to by the fijian names baka ni viti and baka ni valagi. confused also is f. tinctoria. syn. (west) yayawa. idiom: vunibaka ga sa tevoro. beware the power of a big man ; he may appear magnificent but he can be dangerous, literally , the baka tree (banyan tree) has its own devil. idiom: sa kamusu na baka. a great chief has died.",parse_gatty_basic,has_idiom;has_syn,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,baka,n. a type of branched coral.,parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,bakava,"adj ., n. crazy, silly person. reference is to st. giles hospital, a mental hospital in suva,",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,suggesting the metal fencing,(which in fact does not enclose the place).,parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,bakewa,"n. remora, pilot fish that attaches itself to sharks. edible but not tasty, echeneis naucrates.",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,baku,". adj . bitter, astringent in taste, such as the taste of immature bananas.",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,baku,". n. foreskin of a penis, excised in ceremony of circumcision. by extension baku may refer to the penis of people who are not circumcised. idiom: baku! insult, usually joking, of someone who is thought ineffectual. syn. sometimes used for indo-fijians kulina, literally “skin”.",parse_gatty_basic,has_idiom;has_syn,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,bakui,"n. hydra, according to neyret, one of the cnidarians (j ellyfish, sea anenomes, polyps, and including hydra), tiny, with tiny tentacles. gov ’t dictionary has this listed as ophiolep sis superba.",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,bala,"n. male sea turtle (green turtle), chelonia mydas. bala! interj ection, implying surprise or disappointment. bala, balata v. push into water (person, anchor, other things), or shove into some place, put into (prison):",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,me bala na,"ikelekele! drop the anchor ! bala ki na vale ni veivesu put into prison. the word implied shoving, pushing. there is a new year ’s eve custom of heaving people into the water.",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,balabala,"n. tree fern, cyathea lunulata and other species. splinters from tree ferns cause dangerous and lingering pain and are a common injury in the bush , especially to bare feet. tree fern wood is useful as",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,a means of keeping fire,a long time; it burns very slowly. the firm spongy pith in the stem of mature,parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,tree ferns is cut into round shape for children to use,as a ball. soft scales at the apex of the trunk serve,parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,balabala sa,"n. tree fern, cyathea affinis, tall and very thin but solid, very hard trunk, and thus much more durable wood. it is distinguished by a lighter leaf-stem colour, finer leaflets and less branching of the leaves.",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,balagi,"n. edible surgeon fish around the reef, acanthurus sp .",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,balaka,"n. a palm useful for its very thin , straight and hard stem, formerly used for spears, balaka species.",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,balala,"v. to stick through (spear, nail, knife) without gripping.",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,balavu,"adj ., n. long, tall. (fij ians use the same word for both concepts.) length, height. na kena balavu",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,its,"height (or length). babalavu plural, one of the very few adjectives that takes a plural form. see cere, cecere, height applied to high places, hills, mountains. see also dede, for length of time. idiom: vuaka balavu lit. “long pig” or “tall pig”, meaning a human body intended for eating.",parse_gatty_basic,has_idiom;has_see,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,balawa,"n. pandanus fruit, and by extension, the introduced pineapple due to similarity in appearance of the fruit. in the viti levu highlands, balawa usually refers to an edible bush pineapple with very small fruits, now growing wild. (cultivated pineapple is re-planted every two years with suckers because the",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,fruits become,much smaller after the first two years.) pineapples originated in central america. well,parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,established,"commercial variety is the ripley queen, small, very thorny, very juicy and sweet. the",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,serene,"(sydney) varieties are types of smooth cayenne, much larger and with only small thorns at the tips of leaves. vatu ni balawa whale-tooth (tabua) formerly placed in a grave; certain coastal fij ians (not highlanders) believed that a dead man ’s spirit would throw the tabua at a certain pandanus palm to gain entry to the afterworld.",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,balawa,"viriki (archaic) after the mid-s, when whale-teeth were introduced to fij i and became symbolic, a legendary custom developed: the notion that after dying, a man ’s spirit would pass udu",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,point,"(mua-i-udu) where there was supposed to be a pandanus tree and he should throw a whale tooth at it. if successful, he could pass on to the other world. viriki thrown at.",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,bale,"v . to die (of a person) polite, honorific term, especially for chiefs. bale drokadroka v. to die young",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,bale,"adj . noble, honorific term used only in the combination na turaga bale the noble chief, na",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,marama bale,"the noble lady. bale, baleta v., adj . to be the cause of, often meaning to be at fault, to blame. sa bale vei koya. he/she is to blame. he/she was responsible. sa baleti iko. it is because of you. bale, baleca v. to fall from upright position (onto), usually of something tall, a person or a tree.",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,baleca,"adj ., adv. disrespectful (words, behaviour). ke tau baleca na noqu vosa, meu vosoti. if my",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,words,"are disrespectful, please be patient with me. inappropriate in behaviour. baleca na nomu ivukivuki. your behaviour is inappropriate. syn. sakasaka.",parse_gatty_basic,has_syn,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,vakabalea,"v. to topple, to set down.",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,bale,"(nait.) v. to go. e bale ivei o koya ? where is he/she going? taubale to walk . bale, bale-taka v. to go on, pass by, cross over, usually on foot. taubale to walk, go on foot. bale dodo to follow the “stretch” (path, road, river, but perhaps especially, the continuing ridge of a hill).",parse_gatty_basic,has_question,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,balebale,"(lau) n., v. cooperative work, various households doing a task together. syn. solesolevaki. the",parse_gatty_basic,has_syn,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,concept,"is that many hands make light work. working alone is slow and arduous. this is a very important, useful custom in fij ian villages.",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,ibalebale,"n. meaning. a cava na kena ibalebale? what does it mean ? ibalebale-rua double meaning (this is a modern anglicism). balebale-rua to have a double meaning, homonym.",parse_gatty_basic,has_question;has_anglicism,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,vakaibalebale,"adj . meaningful, has meaning.",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,balei,"(colo east, namosi) n. snake. this is a totem of tribe naleya at village nasava, noemalu district, naitasiri. a closely related word, baleni, refers to a ten-headed snake godess around village vunikodi,",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,macuata,"provice, and there is there a clan called baleni. the title rokobaleni exists among waimaro fijians, tribe navakavu, villages muaivuso and togalevu, at the coast of rewa province. the",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,implication,"is that of a snake, though present-day locals are unaware of that connection. a distinctive",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,fern,that grows around tree trunks is known as snake nest in cakaudrove (sova ni gata) and on the,parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,waidina,"river of colo east (sova ni balei). sold as a large household ornamental, this plant is often",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,known,"among europeans as antler horns or staghorn, names not listed in my botanical references. syn. gata.",parse_gatty_basic,has_syn,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,veibaleyaki,"adj . indeterminate, ambiguous, going this way and that way. sa veibaleyaki tiko na uluna. his/her head is nodding this way and that way.",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,balekana,"n. var. of breadfruit with small, long fruit that has smooth skin. it matures early and may be eaten when it falls, which is implied in the name.",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,baleravu,n. fire-torch of bamboo or other improvised bush material used still today to light one ’s way at,parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,night,around the village. the word implies the damage done if the torch falls. traditional housing is,parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,very,combustible and houses usually built close together. for such torches highlanders used bamboo,parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,while coastal fijians normally used dried coconut spathes,(flower shoots) called bawara.,parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,balesi,broken off but still hanging (as with a tree-branch).,parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,baleta,". because (or, in a question) because of what, why. baleta na cava ? (or) baleta ? why? (because of what?). baleta . concerning, as in na veika baleti au. the things concerning me (about me). baleta . guilty, at fault, to be the one concerned. sa baleti koya. it is his/her fault. sa baleti au. i am to be blamed, am guilty. responsible, at fault. sa baleti iko ga. it is j ust because of you (you brought it on yourself.) syn. sa bale vei koya. he/she is at fault. sa bale vei au. i am at fault. bali, balia v. to knead, as of fij ian vakalolo pudding, or modernly, dough for baking. (fijians anciently had no knowledge of yeast or leavened bread.)",parse_gatty_basic,has_syn;has_question,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,balia,"(vanua levu) n. mad, insane, mentally unstable, of a person. balibali or balikali adj . clumsy, of a person.",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,baloa,"black, or blackish, usually of skin colour. fijians can be colour-conscious and will sometimes remark on how dark or light a person ’s skin is. traditionally, many of the blacker, “true” fijians of the highlands have felt disadvantaged. they have in several places accepted as chiefs immigrant tongans,",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,who have,"fair skins, as for the noemalu, and at the nadroga coast. on a few occasions, fijians have",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,accepted,"europeans as incoming chiefs (clan naulucavu, for example, at nakorosule, and also the",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,kainadakua in,"sawakasa, tailevu). fijian mothers are often proud to have a light-skinned child. skin",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,bleaches,"(whiteners) are advertised in the fijian language newspapers, as are hair-straighteners. this",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,topic,"is a sensitive one, and a complicated one. black warriors of the fiji highlands have had a great",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,reputation,as mercenaries in tonga and also in the tui kaba conquest of lakeba island accomplished,parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,balobi,"sulu n. bolt of cloth, lobi, lobia to fold. e va na balobi sulu four bolts of cloth. bolts of cotton",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,cloth,"are important gift items at some modern fij ian ceremonies. (in coastal areas, barkcloth has been used, especially in areas of polynesian influence.) the long stretch of cloth is strung out on display,",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,brought,"forward by a procession of women , showing it off. highlanders never had the mulberry barkcloth, and never had such grand ceremonial displays.",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,balolo,"n. an edible sea-worm, the annelid eunice viridis (formerly palolo viridis), found only in certain places, but not at viti levu. balolo appears once or twice a year at only about coastal locations in",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,fiji but,"at any one place it may not recur annually, or may occur only once (as at lakeba). elsewhere,",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,outside,"of the usual places, fij ians may never have seen it or tasted it, but they have all heard of it.",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,early,"in the morning the annelids rise in a spiral from coral sand, brown male sperm sacs and green",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,female,"egg sacs in the form of worms that intertwine and fertilise, squirming to the surface. by the",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,time,"the sun becomes strong, around eight o’clock, they will disappear. the transparent eggs become",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,invisible,"and the thin coloured skins seem to evaporate to nothing. the balolo also exists in samoa, tonga, and the islands off japan . qoliva na balolo fish for the balolo. tagava na balolo net the balolo. collection may involve many village people. when quantities are great, much will be given away. it is contrary to custom that balolo be sold, but lautoka market now does have some, cooked, for sale.",parse_gatty_basic,,,Fijian-English_Dictionary.txt
dictionary,lexeme_gloss,fj_to_en,on vanua levu it occurs only on the northeastern coast from,"saqani to udu, and on the southeastern",parse_gatty_basic,,,Fijian-English_Dictionary.txt
