domain,direction,source_id,source_text,target_text,semantic_cosine,semantic_flag_low
bible,en->fj,bible|genesis|001|030,"and to every beast of the earth, and to every fowl of the air, and to every thing that creepeth upon the earth, wherein there is life, i have given every green herb for meat: and it was so.","""na vei manumanu kece ni veikau kei na manumanu vuka ni macawa kei na veika kecega sa qasi voli e vuravura ka bula tiko, au sa solia vei ira na co kei na botebotekoro kecega sa tubu mai me kedra kakana; "" sa yaco me vakakina.",0.44155133,False
bible,en->fj,bible|genesis|001|031,"and god saw every thing that he had made, and, behold, it was very good. and the evening and the morning were the sixth day.","na kalou, ni sa raica na veika kece sa cakava oti, io, sa dina, sa vinaka sara. sa qai karobo na yakavi ka mataka ni ka ono ni siga.",0.16575822,True
bible,en->fj,bible|genesis|002|001,"thus the heavens and the earth were finished, and all the host of them.","na veilomalagi kei na vuravura, kei na ka kecega sa tiko kina, sa buli oti.",0.20878902,True
bible,en->fj,bible|genesis|002|002,and on the seventh day god ended his work which he had made; and he rested on the seventh day from all his work which he had made.,"ena i kavitu ni siga, sa mai oti kina na nona cakacaka na kalou. sa vakacegu ena i kavitu ni siga na kalou mai na nona cakacaka kecega ni veibuli sa cakava oti.",0.19961923,True
bible,en->fj,bible|genesis|002|003,"and god blessed the seventh day, and sanctified it: because that in it he had rested from all his work which god created and made.","na kalou sa qai vakalouvinakataka nai kavitu ni siga ka vakatabuya, baleta ni sa vakacegu mai na nona cakacaka kecega sa cakava ka bulia na kalou.",0.118498705,True
bible,en->fj,bible|genesis|002|004,"these are the generations of the heavens and of the earth when they were created, in the day that the lord god made the earth and the heavens,","oqo nai tukutuku ni veigauna kei lomalagi kei vuravura, ena gauna rau sa buli kina, ena siga sa bulia kina na lomalagi kei na vuravura na kalou o jiova,",0.10018118,True
bible,en->fj,bible|genesis|002|005,"and every plant of the field before it was in the earth, and every herb of the field before it grew: for the lord god had not caused it to rain upon the earth, and there was not a man to till the ground.","ni se bera ni tubu mai e dua na kau ena vanua se, e dua na co me tubu mai. na kalou o jiova e se bera ni vakavuna me tau mai na uca ki vuravura, ka e se bera ni tiko e dua na tamata me vakarautaka na qele;",0.16210541,True
bible,en->fj,bible|genesis|002|006,"but there went up a mist from the earth, and watered the whole face of the ground.",sa lako cake ga mai na tegu mai vuravura ka vakasuasuataka na qele taucoko.,0.2798496,True
bible,en->fj,bible|genesis|002|007,"and the lord god formed man of the dust of the ground, and breathed into his nostrils the breath of life; and man became a living soul.",na kalou o jiova sa bulia na tamata mai na kuvu ni soso mai na qele ka solia nai cegu ni bula ki na ucuna; sa qai yaco me dua na ka bula na tamata.,0.35385463,False
bible,en->fj,bible|genesis|002|008,and the lord god planted a garden eastward in eden; and there he put the man whom he had formed.,"na kalou o jiova sa tea e dua nai teitei ena tokalau kei iteni, sa qai vakatikora e kea na tamata sa bulia oti.",0.18188408,True
bible,en->fj,bible|genesis|002|009,"and out of the ground made the lord god to grow every tree that is pleasant to the sight, and good for food; the tree of life also in the midst of the garden, and the tree of knowledge of good and evil.","mai na qele, na kalou o jiova sa vakatubura mai kina na kau kecega sa vinaka ni laurai, ka sa vinaka talega ni laukana. na vunikau ni bula sa tiko talega ena loma ni teitei kei na vunikau talega sa kilai kina na vinaka kei na ca.",0.36329776,False
bible,en->fj,bible|genesis|002|010,"and a river went out of eden to water the garden; and from thence it was parted, and became into four heads.",e dua na uciwai sa drodro mai iteni me vakasuasuataka na i teitei. mai iteni ga sa wase va mai kina na uciwai oqo.,0.114070535,True
bible,en->fj,bible|genesis|002|011,"the name of the first is pison: that is it which compasseth the whole land of havilah, where there is gold;","nai matai ni uciwai o pisoni, sa drodro yani ena vanua taucoko o avila, na vanua sa tiko kina na koula.",0.27451897,True
bible,en->fj,bible|genesis|002|012,and the gold of that land is good: there is bdellium and the onyx stone.,"na koula ni vanua oqo sa rui vinaka. na vatu talei, na onikisa sa tu e kea.",0.17927095,True
bible,en->fj,bible|genesis|002|013,and the name of the second river is gihon: the same is it that compasseth the whole land of ethiopia.,na yaca ni karua ni uciwai o kioni; oqo e curuma yani na vanua taucoko o kusi.,0.15354955,True
bible,en->fj,bible|genesis|002|014,and the name of the third river is hiddekel: that is it which goeth toward the east of assyria. and the fourth river is euphrates.,"nai katolu ni uciwai o itekeli, na uciwai oqo sa lako yani vaka ki asiria. na i ka va ni uciwai na uferetisi.",0.11009546,True
bible,en->fj,bible|genesis|002|015,"and the lord god took the man, and put him into the garden of eden to dress it and to keep it.",na kalou o jiova sa kauta na tamata ka biuti koya ena i teitei mai iteni me qarava ka maroroya.,0.2534992,True
bible,en->fj,bible|genesis|002|016,"and the lord god commanded the man, saying, of every tree of the garden thou mayest freely eat:","na kalou o jiova sa vakarota na tamata ka vaka: ""na veika kece sa tiko ena i teitei oqo mo kana mai kina;",0.21470544,True
bible,en->fj,bible|genesis|002|017,"but of the tree of the knowledge of good and evil, thou shalt not eat of it: for in the day that thou eatest thereof thou shalt surely die.","""ia na vunikau ga ni kila na ka vinaka kei na ka ca, mo kua ni kania, na siga o na kania kina na vuana, o na mate dina. """,0.38608998,False
bible,en->fj,bible|genesis|002|018,"and the lord god said, it is not good that the man should be alone; i will make him an help meet for him.","na kalou o jiova sa tukuna, ""sa sega ni vinaka vua na tamata me tiko duadua. au na cakava e dua na nonai i vukevuke me vakatautauvatataki kei koya. """,0.3409451,True
bible,en->fj,bible|genesis|002|019,"and out of the ground the lord god formed every beast of the field, and every fowl of the air; and brought them unto adam to see what he would call them: and whatsoever adam called every living creature, that was the name thereof.","na kalou o jiova sa bulia mai na qele na manumanu kecega ni vanua kei na manumanu vuka ni macawa ka kauta mai vei atama me raica se ena kacivi ira vakacava. na yaca ga sa kacivi ira kina o atama, sa yacadra sara ga.",0.34926906,True
bible,en->fj,bible|genesis|002|020,"and adam gave names to all cattle, and to the fowl of the air, and to every beast of the field; but for adam there was not found an help meet for him.","o atama sa vakayacani ira kece na manumanu yavai va kei na manumanu vuka kecega kei na manumanu kecega ni vanua. ia me baleti atama, sa sega ni kune e dua me tautauvata kei koya me rawa ni dau veivuke vua.",0.3142878,True
bible,en->fj,bible|genesis|002|021,"and the lord god caused a deep sleep to fall upon adam, and he slept: and he took one of his ribs, and closed up the flesh instead thereof;",na kalou o jiova sa vakavuna e dua na moce bi vei atama ka sa moce lutu sara kina. na kalou sa taura mai e dua na sui ni sarisarina ka ubia vinaka tale na lewena.,0.3476743,True
bible,en->fj,bible|genesis|002|022,"and the rib, which the lord god had taken from man, made he a woman, and brought her unto the man.","na kalou o jiova sa vakayagataka na sui nei atama me bulia kina na yalewa, ka sa kauta sara mai vua na tamata.",0.2615983,True
bible,en->fj,bible|genesis|002|023,"and adam said, this is now bone of my bones, and flesh of my flesh: she shall be called woman, because she was taken out of man.","sa tukuna sara o atama: ""oqo na sui mai na suiqu, na lewe mai na lewequ, sa na yalewa o koya, baleta ni a wasei mai vua na tagane. """,0.23645093,True
bible,en->fj,bible|genesis|002|024,"therefore shall a man leave his father and his mother, and shall cleave unto his wife: and they shall be one flesh.","oqo, na vuna, ena biuta kina na tamana kei na tinana na tagane ka sema vei yalewa (watina), me rau sa yago vata.",0.25353992,True
bible,en->fj,bible|genesis|002|025,"and they were both naked, the man and his wife, and were not ashamed.","e rau sa luvawale ruarua tu na tagane kei na watina, e rau sa sega ni madua kina.",0.14655241,True
bible,en->fj,bible|genesis|003|001,"now the serpent was more subtil than any beast of the field which the lord god had made. and he said unto the woman, yea, hath god said, ye shall not eat of every tree of the garden?","na gata sa dauveivakaisini sara, mai vei ira kecega na manumanu ni vanua sa bulia na kalou o jiova. na gata sa tukuna vua na yalewa ka vaka: ""sa tukuna dina na kalou, 'mo drau kua ni kana mai na vunikau kecega sa tu ena i teitei'? """,0.4604109,False
bible,en->fj,bible|genesis|003|002,"and the woman said unto the serpent, we may eat of the fruit of the trees of the garden:","sa tukuna mai na yalewa vua na gata, ""keirau na kana mai na kau kecega sa tu ena i teitei;",0.41638306,False
bible,en->fj,bible|genesis|003|003,"but of the fruit of the tree which is in the midst of the garden, god hath said, ye shall not eat of it, neither shall ye touch it, lest ye die.","""ia, na vuanikau mai na vunikau ga sa tiko e na loma donu ni teitei, sa tukuna na kalou, 'mo drau kakua ni kania, se mo drau tara, de drau mate. '""",0.49785578,False
bible,en->fj,bible|genesis|003|004,"and the serpent said unto the woman, ye shall not surely die:","sa tukuna mai na gata vua na yalewa, ""drau na sega dina ni mate.",0.5110902,False
bible,en->fj,bible|genesis|003|005,"for god doth know that in the day ye eat thereof, then your eyes shall be opened, and ye shall be as gods, knowing good and evil.","""ni sa kila na kalou, mai na siga drau na kania kina, ena rai na matamudrau, drau na vakatalega na kalou ena nomudrau kila na veika vinaka kei na veika ca. """,0.31978166,True
bible,en->fj,bible|genesis|003|006,"and when the woman saw that the tree was good for food, and that it was pleasant to the eyes, and a tree to be desired to make one wise, she took of the fruit thereof, and did eat, and gave also unto her husband with her; and he did eat.","na yalewa, ni sa raica na vunikau, ni sa vinaka me kakana, ka sa vinaka talega ki na mata, sa domona talega na vunikau me vuku kina, sa tauca sara na vuana ka kania. sa solia talega vei watina e rau sa tiko vata, sa kana talega o tagane.",0.25275862,True
bible,en->fj,bible|genesis|003|007,"and the eyes of them both were opened, and they knew that they were naked; and they sewed fig leaves together, and made themselves aprons.","sa qai rai na matadrau, ka rau sa kila ni rau sa luvawale ruarua. e rau sa cula vata na drau ni lolo me nodrau i sulu.",0.23860355,True
bible,en->fj,bible|genesis|003|008,and they heard the voice of the lord god walking in the garden in the cool of the day: and adam and his wife hid themselves from the presence of the lord god amongst the trees of the garden.,"e rau sa qai rogoca na rorogo ni nona veilakoyaki voli na kalou o jiova ena loma ni teitei ena batabata vinaka ni siga, ka rau sa vunitaki rau mai na mata ni kalou o jiova ena veivunikau ni teitei.",0.26556593,True
bible,en->fj,bible|genesis|003|009,"and the lord god called unto adam, and said unto him, where art thou?","sa kaci yani na kalou o jiova vei atama ka vaka: ""o sa tiko e vei? """,0.34357947,True
bible,en->fj,bible|genesis|003|010,"and he said, i heard thy voice in the garden, and i was afraid, because i was naked; and i hid myself.","sa sauma mai o atama ka vaka: ""au sa rogoca na domomuni e nai teitei, ka au sa rere vakalevu baleta ni'u sa luvawale tu, au sa qai vuni. """,0.43488094,False
bible,en->fj,bible|genesis|003|011,"and he said, who told thee that thou wast naked? hast thou eaten of the tree, whereof i commanded thee that thou shouldest not eat?","na kalou o jiova sa taro tale mai, ""o cei e tukuna ni o sa luvawale tu? o sa kana beka mai na vunikau, au a vakarota vei iko mo kua ni kana mai kina? """,0.4054238,False
bible,en->fj,bible|genesis|003|012,"and the man said, the woman whom thou gavest to be with me, she gave me of the tree, and i did eat.","sa sauma mai na tamata, ""na yalewa ga o ni a solia mai vei au me keirau tiko vata, o koya ga sa solia mai vei au na vua ni vunikau oqo, au sa kania sara. """,0.4518224,False
bible,en->fj,bible|genesis|003|013,"and the lord god said unto the woman, what is this that thou hast done? and the woman said, the serpent beguiled me, and i did eat.","na kalou o jiova sa tukuna vua na yalewa, ""na cava sara mada oqo, o sa cakava? "" sa sauma na yalewa ka vaka: ""sa vakaisini au na gata, ka, au sa kana sara. """,0.28145102,True
bible,en->fj,bible|genesis|003|014,"and the lord god said unto the serpent, because thou hast done this, thou art cursed above all cattle, and above every beast of the field; upon thy belly shalt thou go, and dust shalt thou eat all the days of thy life:","na kalou o jiova sa tukuna vua na gata: ""baleta na veika o sa cakava oqo, o sa rukaki vakalevu cake kina mai vei ira na manumanu ni vanua; o na lako voli e ketemu, o na kania na kuvu ni qele ena veisiga kece o sa bula kina.",0.50183654,False
bible,en->fj,bible|genesis|003|015,"and i will put enmity between thee and the woman, and between thy seed and her seed; it shall bruise thy head, and thou shalt bruise his heel.","au na vaka veimecakitaki iko kei na yalewa, o ira na nomu kawa kei na nona kawa; o koya ena vakamavoataka na ulumu, ka o na vakamavoataka na bukubuku ni yavana. """,0.37965727,False
bible,en->fj,bible|genesis|003|016,"unto the woman he said, i will greatly multiply thy sorrow and thy conception; in sorrow thou shalt bring forth children; and thy desire shall be to thy husband, and he shall rule over thee.","na kalou o jiova sa tukuna talega vua na yalewa; ""au na vakalevutaka vei iko na rarawa ena gauna ni nomu kunekune; ena mosi levu, o na vakasucuma mai kina na gone; na nomu gagadre sa na tiko ga vua na watimu, ka ena vakatulewa tiko ga vei iko o koya. """,0.5480378,False
bible,en->fj,bible|genesis|003|017,"and unto adam he said, because thou hast hearkened unto the voice of thy wife, and hast eaten of the tree, of which i commanded thee, saying, thou shalt not eat of it: cursed is the ground for thy sake; in sorrow shalt thou eat of it all the days of thy life;","na kalou o jiova sa tukuna vakaoqo vei atama, ""baleta ni o sa vakarorogo ki na domo i watimu, ka o sa kana mai na vunikau au a vakarota vei iko ka vaka, 'mo kua ni kana mai kina': ""sa rukaki na qele ena vukumu; o na buno ka oca ni o sa kana mai kina, ena veisiga kece ni nomu bula.",0.46951038,False
bible,en->fj,bible|genesis|003|018,thorns also and thistles shall it bring forth to thee; and thou shalt eat the herb of the field;,"na co kei na kau vakavotona sa na basika mai ena vukumu, o na kania na botebotekoro era na tubu mai.",0.17595306,True
bible,en->fj,bible|genesis|003|019,"in the sweat of thy face shalt thou eat bread, till thou return unto the ground; for out of it wast thou taken: for dust thou art, and unto dust shalt thou return.","ena buno ni yadremu, o na qai kana madrai kina me yacova ni o sa lesu tale ki na qele, baleta ni o a kau ga mai na qele. ni o a kuvu ni soso ga, o na lesu tale ki na kuvu ni soso. """,0.45629248,False
bible,en->fj,bible|genesis|003|020,and adam called his wife's name eve; because she was the mother of all living.,"o atama sa kacivi na watina me o ivi, ni sa tinadra na bula.",0.120361835,True
bible,en->fj,bible|genesis|003|021,"unto adam also and to his wife did the lord god make coats of skins, and clothed them.","vei atama kei watina talega, sa cakava kina na kalou o jiova na kuli ni manumanu ka vakaisulutaki rau kina.",0.2566659,True
bible,en->fj,bible|genesis|003|022,"and the lord god said, behold, the man is become as one of us, to know good and evil: and now, lest he put forth his hand, and take also of the tree of life, and eat, and live for ever:","na kalou o jiova sa tukuna, ""raica na tamata sa vakataki kedatou, me kila na vinaka kei na ca. oqo de qai taura talega na vua ni kau ni bula, ka kania, ena qai bula ka sega ni mudu""",0.32150137,True
bible,en->fj,bible|genesis|003|023,"therefore the lord god sent him forth from the garden of eden, to till the ground from whence he was taken.","o koya oqo, sa vakatalai koya tani kina na kalou mai na nona i teitei mai iteni, me la'ki cukicuki ka teitei ki na vanua sa kau kina.",0.17184484,True
bible,en->fj,bible|genesis|003|024,"so he drove out the man; and he placed at the east of the garden of eden cherubims, and a flaming sword which turned every way, to keep the way of the tree of life.",sa vakatalai tani na tamata mai iteni ka sa vakatikora na jerupi ena tokalau ni teitei mai iteni kei na seleiwau yameyame ni bukawaqa sa veigoleyaki voli me rau yadrava na vunikau ni bula.,0.36736035,False
bible,en->fj,bible|genesis|004|001,"and adam knew eve his wife; and she conceived, and bare cain, and said, i have gotten a man from the lord.","o atama sa curumi ivi, ka sa mani kunekune sara o ivi, ka vakasucumi keni ka tukuna, ""au sa rawata e dua na tagane mai vei jiova. """,0.3022017,True
bible,en->fj,bible|genesis|004|002,"and she again bare his brother abel. and abel was a keeper of sheep, but cain was a tiller of the ground.","sa vakasucu tale, oqo sa sucu o epeli na tacina. o epeli sa dau vakaraici ira na sipi, o keni sa dau teitei ena vanua.",0.26600933,True
bible,en->fj,bible|genesis|004|003,"and in process of time it came to pass, that cain brought of the fruit of the ground an offering unto the lord.","ni sa toso tiko na gauna, sa qai yaco me kauta mai o keni e so na i soro vuata ni vanua vei jiova.",0.33381802,True
bible,en->fj,bible|genesis|004|004,"and abel, he also brought of the firstlings of his flock and of the fat thereof. and the lord had respect unto abel and to his offering:","o epeli talega sa kauta mai na ulumatua ni nona sipi kei na kedra uro me i soro. o jiova, sa doka vakalevu nai soro nei epeli,",0.29035175,True
bible,en->fj,bible|genesis|004|005,"but unto cain and to his offering he had not respect. and cain was very wroth, and his countenance fell.",sa sega ni taleitaki keni kei na nona i soro. sa cudru sara vakalevu o keni ka sa duatani mai na kena i rairai.,0.18598542,True
bible,en->fj,bible|genesis|004|006,"and the lord said unto cain, why art thou wroth? and why is thy countenance fallen?","o jiova sa qai vosa vei keni ka vaka: ""na cava o via cudru kina? na cava na vuna sa duatani kina nai rairai ni matamu?",0.28477103,True
bible,en->fj,bible|genesis|004|007,"if thou doest well, shalt thou not be accepted? and if thou doest not well, sin lieth at the door. and unto thee shall be his desire, and thou shalt rule over him.","""kevaka o sa caka vinaka, o na sega beka ni ciqomi? ia, kevaka o sega ni caka vinaka, sa wawa tiko nai valavala ca mai na mata ni katuba. sa tiko na nona gagadre vei iko, ia, mo lewa vinaka ga ena vukuna. """,0.45089027,False
bible,en->fj,bible|genesis|004|008,"and cain talked with abel his brother: and it came to pass, when they were in the field, that cain rose up against abel his brother, and slew him.","e rau sa dau veivosaki o keni kei epeli na tacina; sa yaco na gauna ni rau sa tiko e na vanua, sa tucake o keni ka sa yalocataki epeli na tacina ka vakamatei koya.",0.37346965,False
bible,en->fj,bible|genesis|004|009,"and the lord said unto cain, where is abel thy brother? and he said, i know not: am i my brother's keeper?","sa taro mai o jiova vei keni, ""e vei o epeli na tacimu? "" sa sauma mai, ""au sa sega ni kila, oi au beka na nonai vakatawa? """,0.38785654,False
bible,en->fj,bible|genesis|004|010,"and he said, what hast thou done? the voice of thy brother's blood crieth unto me from the ground.","sa tukuna mai o jiova, ""na cava o sa cakava, na domo ni dra i tacimu sa tagi tiko mai vei au mai na qele.",0.5343642,False
bible,en->fj,bible|genesis|004|011,"and now art thou cursed from the earth, which hath opened her mouth to receive thy brother's blood from thy hand;","""oqo o sa vakaloucataki mai vuravura, ni sa dolava na gusuna me ciqoma na dra i tacimu mai na ligamu.",0.40419474,False
bible,en->fj,bible|genesis|004|012,"when thou tillest the ground, it shall not henceforth yield unto thee her strength; a fugitive and a vagabond shalt thou be in the earth.","""ni o sa tea na qele, ena sega ni solia na nona taucoko vei iko. o na tamata dauvakacudrui rawarawa ka o na dau veilakoyaki tu ga e vuravura. """,0.49540338,False
bible,en->fj,bible|genesis|004|013,"and cain said unto the lord, my punishment is greater than i can bear.","sa tukuna mai o keni vei jiova, ""na kequ i totogi sa rui levu sara ka sa rui bibi!",0.31118453,True
bible,en->fj,bible|genesis|004|014,"behold, thou hast driven me out this day from the face of the earth; and from thy face shall i be hid; and i shall be a fugitive and a vagabond in the earth; and it shall come to pass, that every one that findeth me shall slay me.","""sa dina sara, o ni sa vakasavi au ena siga oqo mai na matamuni; au na tamata sevaki ka dauveitosoyaki tu ga e vuravura, ena yaco na tamata kecega sa raici au ena via vakamatei au. """,0.5168047,False
bible,en->fj,bible|genesis|004|015,"and the lord said unto him, therefore whosoever slayeth cain, vengeance shall be taken on him sevenfold. and the lord set a mark upon cain, lest any finding him should kill him.","sa tukuna vua o jiova, ""o koya sa vakamatei keni, ena vakasukai vua me vakavitu tale. "" o jiova sa vakatakilakilataki keni, de qai dua e kunei koya ka vakamatea.",0.48555797,False
bible,en->fj,bible|genesis|004|016,"and cain went out from the presence of the lord, and dwelt in the land of nod, on the east of eden.","sa lako tani o keni mai na mata i jiova, ka la'ki tiko ena vanua o noti, ena ra kei iteni.",0.25118822,True
