domain,direction,sentence_type_fine,source_id,source_doc,source_text,target_text,adequacy_0_2,fluency_0_2,meaning_preserved_yes_no,issues,notes,adequacy_1to5,fluency_1to5,overall_quality,error_tags,comments,cohesion_discourse_optional
bible,en->fj,statement,bible|genesis|031|005,bible_genesis_verse__en2fj.csv,"and said unto them, i see your father's countenance, that it is not toward me as before; but the god of my father hath been with me.","sa tukuna vei rau, ""au sa raica na nona veitokoni o tamamudrau “ni sa sega ni vinaka me vaka e liu, ia, na kalou i tamaqu sa tiko vata kei au.",,,,,,5,3,4.0,grammar,Acceptable but could be smoother.,
bible,en->fj,statement,bible|genesis|042|015,bible_genesis_verse__en2fj.csv,"hereby ye shall be proved: by the life of pharaoh ye shall not go forth hence, except your youngest brother come hither.","""oqo dou sa na vakatovolei, me vaka sa bula o fero, dou na sega ni biuta na vanua vakavo, kevaka sa kau mai o koya e gone duadua.",,,,,,3,4,3.5,lexical,Understandable with minor grammatical issues.,Choppy in places.
bible,en->fj,statement,bible|genesis|040|006,bible_genesis_verse__en2fj.csv,"and joseph came in unto them in the morning, and looked upon them, and, behold, they were sad.","sa lako mai vei rau o joseva ena mataka, ka raici rau, sa raica ni rau sa rarawa sara vakalevu.",,,,,,5,5,5.0,idiomatic,Fluent and clear.,
bible,en->fj,statement,bible|genesis|008|018,bible_genesis_verse__en2fj.csv,"and noah went forth, and his sons, and his wife, and his sons' wives with him:","sa curu ki tuba o noa kei iratou na luvena tagane, o watina kei iratou na vugona.",,,,,,4,3,3.5,grammar,Mostly correct but slightly awkward.,
bible,fj->en,statement,bible|genesis|041|041,bible_genesis_verse__fj2en.csv,"sa tukuna o fero vei joseva, ""raica au sa solia vei iko na lewa ena vanua taucoko o ijipita. ""","and pharaoh said unto joseph, see, i have set thee over all the land of egypt.",,,,,,3,4,3.5,lexical,Mostly correct but slightly awkward.,
bible,fj->en,statement,bible|genesis|010|010,bible_genesis_verse__fj2en.csv,"nai tekitekivu ni nona matanitu sai pepeli, o ereki, o akadi kei kalanei, ena vanua o sina.","and the beginning of his kingdom was babel, and erech, and accad, and calneh, in the land of shinar.",,,,,,3,4,3.5,lexical,Meaning mostly preserved; improve word choice.,Some cohesion issues.
bible,fj->en,statement,bible|genesis|042|008,bible_genesis_verse__fj2en.csv,"sa kilai iratou na tacina o joseva, ia, o iratou e sega e ratou sega ni kilai koya.","and joseph knew his brethren, but they knew not him.",,,,,,4,5,4.5,cultural,Accurate and natural.,
bible,fj->en,statement,bible|genesis|049|008,bible_genesis_verse__fj2en.csv,"""o juta, o iko, era na vakacerecerea na tacimu; na ligamu ena kidomoka na domodra na meca; o ira na luvei tamamu era na cuva ka vakarokoroko vei iko.","judah, thou art he whom thy brethren shall praise: thy hand shall be in the neck of thine enemies; thy father's children shall bow down before thee.",,,,,,4,3,3.5,,Mostly correct but slightly awkward.,Some cohesion issues.
bible,fj->en,statement,bible|genesis|025|019,bible_genesis_verse__fj2en.csv,"oqo na kawa nei aisake, na luvei eparaama. o eparaama sa vakasucumi vua o aisake.","and these are the generations of isaac, abraham's son: abraham begat isaac:",,,,,,3,4,3.5,lexical,Understandable with minor grammatical issues.,
bible,fj->en,statement,bible|genesis|009|011,bible_genesis_verse__fj2en.csv,"""au na vakatauyavutaka na noqu veiyalayalati vata kei iko: ena sega tale, sa na sega ni vakarusai tale o vuravura ena waluvu. """,and i will establish my covenant with you; neither shall all flesh be cut off any more by the waters of a flood; neither shall there any more be a flood to destroy the earth.,,,,,,1,4,2.5,omission;lexical,Major errors; needs revision.,
bible,fj->en,statement,bible|genesis|033|004,bible_genesis_verse__fj2en.csv,"ia, o iso sa cici mai ka roqoti koya ka lele yani ki domona ka reguci jekope ka tagi, ni rau sa veitagicaki ena marau.","and esau ran to meet him, and embraced him, and fell on his neck, and kissed him: and they wept.",,,,,,4,3,3.5,grammar,Mostly correct but slightly awkward.,
bible,fj->en,statement,bible|genesis|028|013,bible_genesis_verse__fj2en.csv,"o jiova sa tu mai cake ka tukuna: ""oi au o jiova na kalou i eparaama, na kalou i aisake. na qele o davoca tiko oqori, au na solia vei iko kei ira na nomu kawa.","and, behold, the lord stood above it, and said, i am the lord god of abraham thy father, and the god of isaac: the land whereon thou liest, to thee will i give it, and to thy seed;",,,,,,4,4,4.0,,Understandable with minor grammatical issues.,
bible,fj->en,statement,bible|genesis|007|016,bible_genesis_verse__fj2en.csv,"o ira kece sa curu ki waqa, na ka tagane kei na ka yalewa “era sa curu ki waqa me vaka sa vakarota vei noa na kalou; o jiova sa sogolati noa talega e loma.","and they that went in, went in male and female of all flesh, as god had commanded him: and the lord shut him in.",,,,,,5,3,4.0,grammar,Meaning mostly preserved; improve word choice.,
bible,fj->en,statement,bible|genesis|046|017,bible_genesis_verse__fj2en.csv,"o ira na luvei aseri tagane: o jimina, o isua, o beria kei sera na luvena yalewa. o ira na luvei beria tagane, o eba kei malikieli.","and the sons of asher; jimnah, and ishuah, and isui, and beriah, and serah their sister: and the sons of beriah; heber, and malchiel.",,,,,,4,5,4.5,,Good translation with only minor edits needed.,
bible,fj->en,statement,bible|genesis|050|026,bible_genesis_verse__fj2en.csv,"sa mate o joseva ni sa yabaki dua na drau ka tini; era vakasuluma na yagona, ka, biuti koya tiko ena dua na kato ni mate mai ijipita. for other languages please go to www. wordproject. org","so joseph died, being an hundred and ten years old: and they embalmed him, and he was put in a coffin in egypt. for other languages please go to www. wordproject. org",,,,,,5,4,4.5,,Fluent and clear.,Flows reasonably.
bible,fj->en,statement,bible|genesis|013|009,bible_genesis_verse__fj2en.csv,"""sa sega beka ni tu oqori e matamu na vanua taucoko? au kerea, me daru sa tawase, kevaka o sa lako ki nai mawi, au na lako ki nai matau, se o lako ki nai matau, au na lako ki nai mawi. ""","is not the whole land before thee? separate thyself, i pray thee, from me: if thou wilt take the left hand, then i will go to the right; or if thou depart to the right hand, then i will go to the left.",,,,,,5,4,4.5,,Fluent and clear.,
bible,fj->en,statement,bible|genesis|026|014,bible_genesis_verse__fj2en.csv,"ni sa taukena na qele ni manumanu, na qele ni bulumakau, ka sa levu sara na nona dauveiqaravi. era sa vuvutaki koya na kai filisitia.","for he had possession of flocks, and possession of herds, and great store of servants: and the philistines envied him.",,,,,,3,5,4.0,lexical,Understandable with minor grammatical issues.,
bible,fj->en,statement,bible|genesis|049|024,bible_genesis_verse__fj2en.csv,"ia, sa kaukauwa tikoga na nona veqa ni dakai “na ligana sa vakaukauwataki mai vua na liga kaukauwa ni kalou i jekope (mai vua na i vakatawa levu na vatu kei isireli),","but his bow abode in strength, and the arms of his hands were made strong by the hands of the mighty god of jacob; (from thence is the shepherd, the stone of israel: )",,,,,,5,4,4.5,,Fluent and clear.,
bible,fj->en,statement,bible|genesis|026|020,bible_genesis_verse__fj2en.csv,"o ira na dau susu manumanu mai qerari era sa veivala kei ira na dau susu manumanu nei aisake ka tukuna, ""na wai sa neimami"" sa vakayacani kina na wai o ya me eseki, baleta ni ra sa veivala kei koya.","and the herdmen of gerar did strive with isaac's herdmen, saying, the water is ours: and he called the name of the well esek; because they strove with him.",,,,,,4,5,4.5,,Accurate and natural.,Flows reasonably.
bible,fj->en,statement,bible|genesis|042|030,bible_genesis_verse__fj2en.csv,"""na nodra turaga ena vanua, sa vosa vakaukauwa vei keitou, ka tukuna ni keitou sa lako yani me raica lo na vanua.","the man, who is the lord of the land, spake roughly to us, and took us for spies of the country.",,,,,,3,2,2.5,lexical;grammar;word_order;idiomatic,Major errors; needs revision.,Good flow.
bible,fj->en,statement,bible|genesis|032|003,bible_genesis_verse__fj2en.csv,o jekope sa vakatala eso na mata vei iso na tacina ena vanua nei sia e itomi.,"and jacob sent messengers before him to esau his brother unto the land of seir, the country of edom.",,,,,,5,5,5.0,,Good translation with only minor edits needed.,
bible,fj->en,statement,bible|genesis|003|011,bible_genesis_verse__fj2en.csv,"na kalou o jiova sa taro tale mai, ""o cei e tukuna ni o sa luvawale tu? o sa kana beka mai na vunikau, au a vakarota vei iko mo kua ni kana mai kina? ""","and he said, who told thee that thou wast naked? hast thou eaten of the tree, whereof i commanded thee that thou shouldest not eat?",,,,,,5,4,4.5,idiomatic,Meaning preserved; reads well.,
bible,fj->en,statement,bible|genesis|043|012,bible_genesis_verse__fj2en.csv,"""me vakaruataki nai lavo mo dou kauta me kau lesu nai lavo e kune ena nomudou taga, de a sega ni nakiti.","and take double money in your hand; and the money that was brought again in the mouth of your sacks, carry it again in your hand; peradventure it was an oversight:",,,,,,3,4,3.5,,Meaning mostly preserved; improve word choice.,
bible,fj->en,statement,bible|genesis|002|024,bible_genesis_verse__fj2en.csv,"oqo, na vuna, ena biuta kina na tamana kei na tinana na tagane ka sema vei yalewa (watina), me rau sa yago vata.","therefore shall a man leave his father and his mother, and shall cleave unto his wife: and they shall be one flesh.",,,,,,4,3,3.5,,Understandable with minor grammatical issues.,
conversational,en->fj,greeting,conversational|years_9_10|00029,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,his favourite subject is english.,na nona lesoni taleitaki na english.,,,,,,2,3,2.5,omission;lexical;grammar,Major errors; needs revision.,
conversational,en->fj,greeting,conversational|years_9_10|00028,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,his teacher’s name is mr john.,na yacai nona qasenivuli o mr john.,,,,,,4,5,4.5,,Meaning preserved; reads well.,
conversational,en->fj,greeting,conversational|years_9_10|00001,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,hello.,ni bula vinaka.,,,,,,3,3,3.0,grammar,Meaning mostly preserved; improve word choice.,
conversational,en->fj,greeting,conversational|years_9_10|00030,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,his favourite food is fish lolo and taro.,na kena kakana taleitaki na ika vakalolo kei na dalo.,,,,,,4,5,4.5,,Fluent and clear.,
conversational,en->fj,greeting,conversational|years_9_10|00044,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,his name is raju.,e yacana o raju.,,,,,,3,2,2.5,grammar;word_order,Unnatural and difficult to understand.,
conversational,en->fj,question,conversational|years_9_10|00081,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,how much is the cost?,e vica na kena isau?,,,,,,3,5,4.0,lexical,Meaning mostly preserved; improve word choice.,
conversational,en->fj,question,conversational|years_9_10|00107,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,what are their names?,o cei na yacadrau?,,,,,,1,5,3.0,omission;lexical,Acceptable but could be smoother.,
conversational,en->fj,question,conversational|years_9_10|00058,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,what for?,me kani cava?,,,,,,1,3,2.0,omission;lexical;grammar,Meaning partly incorrect or unclear.,
conversational,en->fj,question,conversational|years_9_10|00109,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,where do they live?,erau vakaitikotiko i vei?,,,,,,4,5,4.5,,Accurate and natural.,
conversational,en->fj,question,conversational|years_9_10|00071,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,is there roast chicken?,e tiko na toa vavi?,,,,,,4,3,3.5,grammar,Understandable with minor grammatical issues.,
conversational,en->fj,question,conversational|years_9_10|00092,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,how are you?,vacava tiko?,,,,,,2,3,2.5,omission;lexical;grammar,Unnatural and difficult to understand.,
conversational,en->fj,question,conversational|years_9_10|00098,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,why are you late to school?,na cava o bera mai kina i koronivuli?,,,,,,3,4,3.5,lexical,Understandable with minor grammatical issues.,
conversational,en->fj,question,conversational|years_4_5|00040,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,do you have a flower garden at home/school?,e tiko nomudou loganisenikau mai vale/koronivuli?,,,,,,1,5,3.0,omission;lexical,Understandable with minor grammatical issues.,
conversational,en->fj,question,conversational|years_9_10|00111,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,what are you doing on saturday?,na cava o cakava e na siga vakarauwai?,,,,,,3,2,2.5,lexical;grammar;word_order,Unnatural and difficult to understand.,
conversational,en->fj,question,conversational|years_9_10|00057,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,"may i use your cup, please?",au rawa ni kerea nomu bilo?,,,,,,4,4,4.0,,Mostly correct but slightly awkward.,
conversational,en->fj,question,conversational|years_9_10|00072,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,how much for the serve?,e vica na kena isau?,,,,,,4,3,3.5,grammar,Acceptable but could be smoother.,
conversational,en->fj,question,conversational|years_4_5|00021,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,what is your favourite fruit?,: na vuata cava o dau taleitaka?,,,,,,5,4,4.5,,Meaning preserved; reads well.,
conversational,en->fj,question,conversational|years_4_5|00023,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,what are some of the fruits readily available at your home?,: na vuata cava soti o rawa ni kunea mai vale?,,,,,,4,3,3.5,grammar;idiomatic,Understandable with minor grammatical issues.,
conversational,en->fj,question,conversational|years_9_10|00074,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,is there chicken palau?,e tiko na palau toa?,,,,,,3,5,4.0,lexical,Mostly correct but slightly awkward.,
conversational,en->fj,question,conversational|years_9_10|00077,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,is there fish lolo and cassava?,e tiko na ika vakalolo kei na tavioka?,,,,,,5,5,5.0,,Accurate and natural.,
conversational,en->fj,question,conversational|years_9_10|00059,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,"may i use your knife, please?",au rawa ni kerea nomu isele?,,,,,,4,5,4.5,,Good translation with only minor edits needed.,
conversational,en->fj,statement,conversational|years_9_10|00023,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,he is from taveuni.,e gonetagane ni taveuni.,,,,,,4,5,4.5,,Meaning preserved; reads well.,
conversational,en->fj,statement,conversational|years_9_10|00040,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,she is my father’s mother.,e tinai tamaqu o koya.,,,,,,4,3,3.5,,Understandable with minor grammatical issues.,
conversational,en->fj,statement,conversational|years_9_10|00015,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,my father’s name is salesh.,na yacai tamaqu o salesh.,,,,,,4,4,4.0,,Understandable with minor grammatical issues.,
conversational,en->fj,statement,conversational|years_9_10|00105,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,cut the tree branches.,musuka na tabanikau.,,,,,,3,3,3.0,lexical,Mostly correct but slightly awkward.,
conversational,en->fj,statement,conversational|years_9_10|00061,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,to cut the cake.,me musu kina na keke.,,,,,,1,4,2.5,omission;lexical;register,Unnatural and difficult to understand.,
conversational,en->fj,statement,conversational|years_4_5|00032,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,i have a long sleeve shirt and long pants.,e dua tiko na noqu sote ligabalavu kei na tarausese balavu.,,,,,,4,3,3.5,,Understandable with minor grammatical issues.,
conversational,en->fj,statement,conversational|years_9_10|00016,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,my mother’s name is sunita.,na yacai tinaqu o sunita.,,,,,,4,5,4.5,,Meaning preserved; reads well.,
conversational,en->fj,statement,conversational|years_9_10|00021,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,my favourite food is roti and chicken curry.,na kequ kakana taleitaki na roti kei na kari toa.,,,,,,5,4,4.5,,Meaning preserved; reads well.,
conversational,en->fj,statement,conversational|years_4_5|00037,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,warm clothes are worn during cold weather.,e dau daramaki na isulu katakata e na gauna ni batabata.,,,,,,4,3,3.5,,Mostly correct but slightly awkward.,
conversational,en->fj,statement,conversational|years_9_10|00025,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,he is years old.,e sa yabaki .,,,,,,4,5,4.5,,Good translation with only minor edits needed.,
conversational,en->fj,statement,conversational|years_9_10|00068,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,the sun is shining.,e cila na siga.,,,,,,4,3,3.5,,Mostly correct but slightly awkward.,
conversational,en->fj,statement,conversational|years_9_10|00041,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,her name is alice.,e yacana o alice.,,,,,,4,4,4.0,,Mostly correct but slightly awkward.,
conversational,en->fj,statement,conversational|years_4_5|00027,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,an orange is sweet when it is unripe.,na moli e dau kamikamica ni se vou.,,,,,,4,4,4.0,register,Mostly correct but slightly awkward.,
conversational,en->fj,statement,conversational|years_4_5|00062,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,ants are tiny crawling insects.,era manumanu lalai na qasikalolo.,,,,,,2,4,3.0,omission;lexical,Meaning mostly preserved; improve word choice.,
conversational,en->fj,statement,conversational|years_9_10|00114,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,"if the weather is not fine, i will stay home.","ke draki ca, au na tiko ga i vale.",,,,,,4,4,4.0,,Mostly correct but slightly awkward.,
conversational,en->fj,statement,conversational|years_9_10|00035,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,she is in year .,e tiko e na yabaki vakavuli.,,,,,,4,3,3.5,grammar,Meaning mostly preserved; improve word choice.,
conversational,en->fj,statement,conversational|years_9_10|00038,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,her favourite food is roti and chicken curry.,na kena kakana taleitaki na roti kei na kari toa.,,,,,,4,4,4.0,,Meaning mostly preserved; improve word choice.,
conversational,en->fj,statement,conversational|years_9_10|00125,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,butter the bread.,vakabatataka na madrai.,,,,,,4,3,3.5,,Mostly correct but slightly awkward.,
conversational,en->fj,statement,conversational|years_9_10|00104,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,this is a cyclone warning.,sa soli na ivakasala ni cagilaba.,,,,,,3,4,3.5,,Meaning mostly preserved; improve word choice.,
conversational,en->fj,statement,conversational|years_9_10|00037,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,her favourite subject is home economics.,na nona lesoni taleitaki na home economics.,,,,,,1,4,2.5,omission;lexical,Key information missing or mistranslated.,
conversational,fj->en,question,conversational|years_9_10|00059,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,au rawa ni kerea nomu isele?,"may i use your knife, please?",,,,,,4,4,4.0,,Understandable with minor grammatical issues.,
conversational,fj->en,question,conversational|years_9_10|00056,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,to be when you grow via cakava ni o sa bane mangta hai?,what you would like cakacaka cava o na tum bada hoike konchi,,,,,,2,3,2.5,omission;lexical;grammar,Key information missing or mistranslated.,
conversational,fj->en,question,conversational|years_4_5|00023,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,na vuata cava soti o rawa ni kunea mai vale?,what are some of the fruits readily available at your home?,,,,,,4,4,4.0,,Acceptable but could be smoother.,
conversational,fj->en,question,conversational|years_9_10|00107,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,o cei na yacadrau?,what are their names?,,,,,,3,3,3.0,lexical;grammar,Acceptable but could be smoother.,
conversational,fj->en,question,conversational|years_9_10|00111,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,na cava o cakava e na siga vakarauwai?,what are you doing on saturday?,,,,,,5,5,5.0,,Accurate and natural.,
conversational,fj->en,question,conversational|years_9_10|00071,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,e tiko na toa vavi?,is there roast chicken?,,,,,,5,4,4.5,other,Fluent and clear.,
conversational,fj->en,question,conversational|years_9_10|00098,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,na cava o bera mai kina i koronivuli?,why are you late to school?,,,,,,3,4,3.5,lexical,Understandable with minor grammatical issues.,
conversational,fj->en,question,conversational|years_9_10|00058,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,me kani cava?,what for?,,,,,,5,5,5.0,register,Good translation with only minor edits needed.,
conversational,fj->en,question,conversational|years_9_10|00109,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,erau vakaitikotiko i vei?,where do they live?,,,,,,3,5,4.0,lexical,Understandable with minor grammatical issues.,
conversational,fj->en,question,conversational|years_4_5|00040,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,e tiko nomudou loganisenikau mai vale/koronivuli?,do you have a flower garden at home/school?,,,,,,5,4,4.5,,Fluent and clear.,
conversational,fj->en,question,conversational|years_9_10|00092,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,vacava tiko?,how are you?,,,,,,5,4,4.5,,Fluent and clear.,
conversational,fj->en,question,conversational|years_9_10|00081,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,e vica na kena isau?,how much is the cost?,,,,,,4,4,4.0,,Mostly correct but slightly awkward.,
conversational,fj->en,question,conversational|years_9_10|00057,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,au rawa ni kerea nomu bilo?,"may i use your cup, please?",,,,,,3,4,3.5,,Understandable with minor grammatical issues.,
conversational,fj->en,question,conversational|years_4_5|00021,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,na vuata cava o dau taleitaka?,what is your favourite fruit?,,,,,,2,3,2.5,omission;lexical,Unnatural and difficult to understand.,
conversational,fj->en,question,conversational|years_9_10|00072,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,e vica na kena isau?,how much for the serve?,,,,,,4,4,4.0,,Understandable with minor grammatical issues.,
