domain,direction,sentence_type_fine,source_id,source_doc,source_text,ref,chatgpt,gemini,google_translate,microsoft_translate,notes
bible,en->fj,statement,bible|genesis|042|003,bible_genesis_verse__en2fj.csv,and joseph's ten brethren went down to buy corn in egypt.,"o iratou na lewe tini na taci joseva, e ratou sa lako sobu i ijipita me voli sila.",e na nona nona o joseph e gole yani ki te iʻa e iukara.,Kei na tinikaiveitacini nei Josaia a lako sobu me volia na sila mai Ijipita.,a ra sa lako sobu ki Ijipita ko iratou na tuakai Josefa e tini me voli sila.,Eratou sa lako sobu na lewe tini na taci Josefa me ratou voli sila mai Ijipita.,
bible,en->fj,statement,bible|genesis|046|006,bible_genesis_verse__en2fj.csv,"and they took their cattle, and their goods, which they had gotten in the land of canaan, and came into egypt, jacob, and all his seed with him:","era sa kauta na nodra manumanu kei na nodra i yaya, era sa rawata ena vanua o kenani, ka lako sobu ki ijipita, o jekope kei ira kecega na nona kawa.","era raua na ta'eta'ika, kei na nodra iyau, e dau rawata na nodra i yaya ena vanua i Kena'ani, ka lako mai Eperu, o Jakopo, kei na nona tamata taucoko.","ka ra kauta na nodra manumanu kei na nodra iyau, era a rawata mai na vanua o Kenani, ka ra lako ki Ijipita, o Jekope kei na nona kawa taucoko vata kei koya.","a ra sa kauta na nodra manumanu, kei na nodra i yau era sa rawata mai na vanua ko Kenani, a ra sa lako ki Ijipita, ko Jekope kei ira kecega na nona kawa.","Era sa kauta na nodra bulumakau kei na nodra iyau, ka ra a taukena mai na vanua ko Kenani, ka lako ki Ijipita, ko Jekope, kei ira kece na nona kawa:",
bible,en->fj,statement,bible|genesis|007|024,bible_genesis_verse__en2fj.csv,and the waters prevailed upon the earth an hundred and fifty days.,sa tiko ga na wai e vuravura me dua na drau limasagavulu na siga.,na na veivakaduata e na vanua e rui na ono narokai.,Kei na wai sa tiko e vuravura me dua na drau ka limasagavulu na siga.,a sa luvuci vuravura na wai me dua na drau ka limasagavulu na siga.,a sa liwa na wai e vuravura me dua na drau limasagavulu na siga.,
bible,en->fj,statement,bible|genesis|001|009,bible_genesis_verse__en2fj.csv,"and god said, let the waters under the heaven be gathered together unto one place, and let the dry land appear: and it was so.","na kalou sa tukuna, ""na wai kece ena ruku i lomalagi, me vakasoqoni kece ena dua na vanua, ka me basika mai na vanua mamaca; "" sa yaco me vakakina.","odalai koto, me ke tikaga ni bui koto e dua na, ka me caka na lomalagi e ra, a mei caka.","Ka sa kaya ko Kalou, Me soqoni vata na wai e ruku i lomalagi ki na dua na tikina, ka me rairai mai na vanua mamaca: a sa yaco vaka kina.","a sa kaya na kalou, Me soqoni vata na wai e ruku i lomalagi ki na dua na yasana, me rairai mai kina na vanua mamaca: a sa vakakina.","A sa kaya na Kalou, Me soqoni vata na wai e rukui lomalagi ki na dua na yasana, me rairai kina na vanua mamaca: a sa vakakina.",
bible,en->fj,statement,bible|genesis|045|003,bible_genesis_verse__en2fj.csv,"and joseph said unto his brethren, i am joseph; doth my father yet live? and his brethren could not answer him; for they were troubled at his presence.","sa tukuna o joseva vei ira na tacina, ""o au o joseva, e se bula tiko o tamaqu? "" era sa sega ni sauma rawa na tacina, ni ra sa kidacala e matana.","ka'u nei o Jozef ki na tickakai, e au o Jozef; e se mai na noqu matua? ka sa le mafai na tickakai e folafola mai ki a ia; no ni sa faigata i latou i tana tona.","A sa kaya ko Josefa vei iratou na tuakana, Oi au ko Josefa; sa bula tiko beka ga ko tamaqu? A ra sega ni sauma rawa vua na tuakana; ni ra sa domobula ena nona rairai.","a sa kaya ko Josefa vei iratou na tuakana, Koi au ko Josefa; sa bula tiko li ko tamaqu? a sa sega ni sauma rawa vua na tuakana; ni ra sa taqaya e na matana.","A sa kaya ko Josefa vei iratou na tuakana, Koi au ko Josefa; Se bula tiko li o Tamaqu? ka ratou sa sega ni sauma rawa na nona itokani; ni ra sa lomaleqataka na nona iserau.",
bible,en->fj,statement,bible|genesis|044|008,bible_genesis_verse__en2fj.csv,"behold, the money, which we found in our sacks' mouths, we brought again unto thee out of the land of canaan: how then should we steal out of thy lord's house silver or gold?","""raica keimami sa kauta lesu tale mai, mai na vanua o kenani nai lavo sa kune ena neimami taga, kila rawa vakacava me keimami butakoca na siliva se koula mai na vale ni neimami turaga?","Raica, na ilavo, e so na keimami sa a vulica mai na kuta, e lesu mai ki na nomu, mai na vanua ko Kanaa: a na cava, e rawa ni keimami sa curu mai na vale ni nomu gosowaqa na siliva se na za?","Raica mada, na ilavo ka keimami a kunea ena gusu ni neimami taga, keimami sa kauta lesu tale mai vei kemuni mai na vanua o Kenani: keimami na butako rawa vakacava gona na siliva se koula mai na vale ni nomuni turaga?","raica, nai lavo keimami a kunea e na gusu ni neimami taga, keimami a kauta lesu mai vei kemuni mai na vanua ko Kenani: keimami na butakoca vakaevei mai na vale ni nomuni turaga na siliva se na koula?","Raica, na ilavo keimami a kunea ena gusudra na neimami taga, keimami a kauta lesu mai vei kemuni mai na vanua ko Kenani: me keimami butakoca vakaevei mai na vale ni nomuni turaga na siliva se na koula?",
bible,en->fj,statement,bible|genesis|031|005,bible_genesis_verse__en2fj.csv,"and said unto them, i see your father's countenance, that it is not toward me as before; but the god of my father hath been with me.","sa tukuna vei rau, ""au sa raica na nona veitokoni o tamamudrau “ni sa sega ni vinaka me vaka e liu, ia, na kalou i tamaqu sa tiko vata kei au.","ka me kaya vua, au raica na mata i tamana, ni sega ni tiko vei au me vaka na i lia; ia sa tiko na kalou i noqu tamana kei au.","ka sa tukuna vei iratou, au raica na mata i tamudra, ni sa sega ni vei au me vaka eliu; ia na Kalou ni tamaqu sa tiko vata kei au.","ka kaya vei rau, Au sa raica na mata i tamamudou, ni sa sega ni vinaka vei au me vaka e liu; ia na kalou i tamaqu sa tiko vata kei au.","A sa kaya vei ira, Au sa raica na irairai i tamamudrau, ni sa sega ni vaka e liu vei au; ia sa tiko vata kei au na Kalou i tamaqu.",
bible,en->fj,statement,bible|genesis|042|015,bible_genesis_verse__en2fj.csv,"hereby ye shall be proved: by the life of pharaoh ye shall not go forth hence, except your youngest brother come hither.","""oqo dou sa na vakatovolei, me vaka sa bula o fero, dou na sega ni biuta na vanua vakavo, kevaka sa kau mai o koya e gone duadua.","Oni e na vuni: ena bula ni farao e na motifaka e ni yacova, me na yacova na noqu itubutubu.","Ena qai vakadinadinataki kemuni kina: Au bubului ena bula i Fero, dou na sega ni biubiu mai eke, kevaka dou sega ni kauta mai na tacimuni lailai duadua.","e na ka oqo dou na vakatovolei kina: e na vuku ni bula i Fero dou na sega ni lako tani eke, kevaka sa sega ni lako mai ki ke na tacimudou gone duadua.","Dou na vakadinadinataki kina: Dou na sega ni lako tani eke ena bula nei Fero, vakavo ga ke sa lako mai ki na tacimu gone duadua.",
bible,en->fj,statement,bible|genesis|040|006,bible_genesis_verse__en2fj.csv,"and joseph came in unto them in the morning, and looked upon them, and, behold, they were sad.","sa lako mai vei rau o joseva ena mataka, ka raici rau, sa raica ni rau sa rarawa sara vakalevu.","a e josefa sa qai uma i þeim ena bogi, a sa raica vei ira, a, e i koya, era sa loma loma.","Sa qai curu mai o Josefa vei iratou e na mataka, ka raici iratou, ia raica, eratou sa rarawa.","a sa curu yani vei iratou ko Josefa e na mataka, ka raici iratou, ka raica, ni ratou sa rarawa tu.","A sa lako mai vei iratou ko Josefa ena mataka, ka raici iratou, ka raica, eratou sa rarawa.",
bible,en->fj,statement,bible|genesis|008|018,bible_genesis_verse__en2fj.csv,"and noah went forth, and his sons, and his wife, and his sons' wives with him:","sa curu ki tuba o noa kei iratou na luvena tagane, o watina kei iratou na vugona.","ia na išoa ka lako, a ia ratou na tamaiti, a ia raua na wahine o tamaiti, ka tiko vata kei na nona.","A sa curumi mai ko Noa, kei ira na luvena, kei na watina, kei na wati ni luvena vata kei koya:","a sa lako yani ko Noa, kei iratou na luvena tagane, kei na watina, kei na watidratou na luvena tagane;","A sa lako yani ko Noa, kei ira na luvena, kei na watina, kei ira na watidra na luvena tagane:",
bible,fj->en,statement,bible|genesis|041|041,bible_genesis_verse__fj2en.csv,"sa tukuna o fero vei joseva, ""raica au sa solia vei iko na lewa ena vanua taucoko o ijipita. ""","and pharaoh said unto joseph, see, i have set thee over all the land of egypt.","He said to Joseph, ""Look, I have given you authority over all the land of Egypt.""","Pharaoh said to Joseph, ""Behold, I have given you authority over the entire land of Egypt.""","And Pharaoh said unto Joseph, See, I have set thee over all the land of Egypt.","Pharaoh said to Joseph, ""Behold, I have given you authority over all the land of Egypt.""",
bible,fj->en,statement,bible|genesis|010|010,bible_genesis_verse__fj2en.csv,"nai tekitekivu ni nona matanitu sai pepeli, o ereki, o akadi kei kalanei, ena vanua o sina.","and the beginning of his kingdom was babel, and erech, and accad, and calneh, in the land of shinar.","The technical knowledge of its nation is vital, not only for today, but also for the future, in the land of tomorrow.","The beginning of his kingdom was Babel, Erech, Accad, and Calneh, in the land of Shinar.","and the beginning of his kingdom was Babel, and Erech, and Accad, and Calneh, in the land of Shinar.","The beginning of his kingdom was Babel, Herek, Achach and Galnei, in the land of Sina.",
bible,fj->en,statement,bible|genesis|042|008,bible_genesis_verse__fj2en.csv,"sa kilai iratou na tacina o joseva, ia, o iratou e sega e ratou sega ni kilai koya.","and joseph knew his brethren, but they knew not him.","They knew the children of Joseph, but they did not know him.","Joseph recognized his brothers, but they did not recognize him.","Joseph's brothers knew him, but they didn't know him.","Joseph knew his brothers, but those who did not knew him.",
bible,fj->en,statement,bible|genesis|049|008,bible_genesis_verse__fj2en.csv,"""o juta, o iko, era na vakacerecerea na tacimu; na ligamu ena kidomoka na domodra na meca; o ira na luvei tamamu era na cuva ka vakarokoroko vei iko.","judah, thou art he whom thy brethren shall praise: thy hand shall be in the neck of thine enemies; thy father's children shall bow down before thee.","""oh my, oh you, they will disturb our peace; our ties will bind the strength of our enemies; those who are your own children will protect and defend you.""","Oh, you, you, your siblings will praise you; your hand will shatter the power of your enemies; the children of your father will bow down and worship you.","""O Judah, thou shalt be exalted among thy brethren; thy hand shall be in the neck of thine enemies; thy father's children shall bow down and worship thee.","""Judas, you, will exalt your brothers; thine hand shall bind the throat of the enemy; Thy father's children shall bow down and worship thee.",
bible,fj->en,statement,bible|genesis|025|019,bible_genesis_verse__fj2en.csv,"oqo na kawa nei aisake, na luvei eparaama. o eparaama sa vakasucumi vua o aisake.","and these are the generations of isaac, abraham's son: abraham begat isaac:","The son of Kawa is Aisake, and the daughter is Eparaama. Eparaama is being proposed to Aisake.","These are the generations of Isaac, Abraham's son. Abraham begat Isaac.","these are the generations of Isaac, the son of Abraham. abraham became the father of Isaac.","These were the descendants of Isaac, the son of Abraham. Abraham was the father of Isaac.",
bible,fj->en,statement,bible|genesis|009|011,bible_genesis_verse__fj2en.csv,"""au na vakatauyavutaka na noqu veiyalayalati vata kei iko: ena sega tale, sa na sega ni vakarusai tale o vuravura ena waluvu. """,and i will establish my covenant with you; neither shall all flesh be cut off any more by the waters of a flood; neither shall there any more be a flood to destroy the earth.,"""I will not give up my relationship with you: it will not, therefore, be destroyed again by the world in turmoil.""",I will establish my covenant with you: never again will the world be destroyed by a flood.,"""and I will establish my covenant with thee: neither shall there any more be a flood to destroy the earth.","""I will establish my covenant with thee: no, neither shall the earth be destroyed by the flood any more.""",
bible,fj->en,statement,bible|genesis|033|004,bible_genesis_verse__fj2en.csv,"ia, o iso sa cici mai ka roqoti koya ka lele yani ki domona ka reguci jekope ka tagi, ni rau sa veitagicaki ena marau.","and esau ran to meet him, and embraced him, and fell on his neck, and kissed him: and they wept.","Yes, it is just like saying that when you run towards your goal, you will achieve everything you desire because you are surrounded by happiness.","And Esau ran to meet him, and embraced him, and fell on his neck, and kissed Jacob, and wept. And they wept together with joy.","and he ran, and fell on his neck, and kissed him, and wept, and wept.","But Esau came running and fell in his arms and ran upon his neck and kissed Jacob and wept, for they wept for joy.",
bible,fj->en,statement,bible|genesis|028|013,bible_genesis_verse__fj2en.csv,"o jiova sa tu mai cake ka tukuna: ""oi au o jiova na kalou i eparaama, na kalou i aisake. na qele o davoca tiko oqori, au na solia vei iko kei ira na nomu kawa.","and, behold, the lord stood above it, and said, i am the lord god of abraham thy father, and the god of isaac: the land whereon thou liest, to thee will i give it, and to thy seed;","""I am the Lord your God, who brought you out of Egypt, out of the land of slavery. You shall have no other gods before me.""","And Jehovah stood up and said: ""I am Jehovah, the God of Abraham, the God of Isaac. The land you are lying on, I will give to you and your descendants.""","And the LORD stood above it, and said, I am the LORD God of Abraham, and the God of Isaac: and the land whereon thou liest, to thee will I give it, and to thy seed.","It was Jehovah who stood on high and declared: ""I am Jehovah the God of Abraham, the God of Isaac. the land on which thou liest I will give it unto thee and to thy seed.",
bible,fj->en,statement,bible|genesis|007|016,bible_genesis_verse__fj2en.csv,"o ira kece sa curu ki waqa, na ka tagane kei na ka yalewa “era sa curu ki waqa me vaka sa vakarota vei noa na kalou; o jiova sa sogolati noa talega e loma.","and they that went in, went in male and female of all flesh, as god had commanded him: and the lord shut him in.","The anger of the men and women ""has come forth as commanded by the gods; the devil has infiltrated as well.""","All who entered the ark, male and female, they entered the ark as God had commanded Noah; Jehovah also shut him in.","all those who entered the ark, both male and female, “went in, just as God had commanded Noah, and Jehovah shut him in.","And as many as entered into the ship, both male and female, ""they did enter into the ark as God had commanded Noah; Jehovah also shut Noah in.",
bible,fj->en,statement,bible|genesis|046|017,bible_genesis_verse__fj2en.csv,"o ira na luvei aseri tagane: o jimina, o isua, o beria kei sera na luvena yalewa. o ira na luvei beria tagane, o eba kei malikieli.","and the sons of asher; jimnah, and ishuah, and isui, and beriah, and serah their sister: and the sons of beriah; heber, and malchiel.","the sons of the father are: jimina, isua, beria and also his daughter. the sons of beria are, eba and malikieli.","The sons of Aseri: Jimina, Isua, Beria and Sera his daughter. The sons of Beria: Eba and Malikieli.","The sons of Asher: Jimnah, and Ishvah, and Beriah, and Serah their daughter. The sons of Beriah: Eber and Malchiel.","Asher's sons: Jimin, Issu, Beriah, and his daughters Sarah. Beriah's sons, Eb and Malikiel.",
bible,fj->en,statement,bible|genesis|050|026,bible_genesis_verse__fj2en.csv,"sa mate o joseva ni sa yabaki dua na drau ka tini; era vakasuluma na yagona, ka, biuti koya tiko ena dua na kato ni mate mai ijipita. for other languages please go to www. wordproject. org","so joseph died, being an hundred and ten years old: and they embalmed him, and he was put in a coffin in egypt. for other languages please go to www. wordproject. org",The death of Joseph happened at the age of one hundred and ten; they embalmed his body and placed him in a coffin in Egypt.,"Joseph died when he was one hundred and ten years old; they embalmed his body, and placed him in a coffin in Egypt. for other languages please go to www. wordproject. org","and Joseph died, being an hundred and ten years old; and they embalmed him, and laid him in a coffin in Egypt. for other languages ​​please go to www. wordproject. org","Joseph died at the age of one hundred and ten; They clothed his body, and, placing him in an Egyptian coffin. for other languages please go to www. wordproject. Org",
bible,fj->en,statement,bible|genesis|013|009,bible_genesis_verse__fj2en.csv,"""sa sega beka ni tu oqori e matamu na vanua taucoko? au kerea, me daru sa tawase, kevaka o sa lako ki nai mawi, au na lako ki nai matau, se o lako ki nai matau, au na lako ki nai mawi. ""","is not the whole land before thee? separate thyself, i pray thee, from me: if thou wilt take the left hand, then i will go to the right; or if thou depart to the right hand, then i will go to the left.","""Is there any reason that you are going to leave this place? I ask, let us divide, if you are going to the east, I will go to the west, or if you go to the west, I will go to the east.""","Isn't the whole world there before you? I ask that we part ways; if you go to the left, I will go to the right, or if you go to the right, I will go to the left.","""is not the whole land before thee? let us, I pray thee, separate us: if thou wilt take the left hand, then I will go to the right; or if thou wilt take the right hand, then I will go to the left.""","""Isn't the whole country in front of you? I ask, that we may separate from each other, and if thou wilt go to the left, I will go to the right; or if thou wilt go to the right, I will go to the left. """,
bible,fj->en,statement,bible|genesis|026|014,bible_genesis_verse__fj2en.csv,"ni sa taukena na qele ni manumanu, na qele ni bulumakau, ka sa levu sara na nona dauveiqaravi. era sa vuvutaki koya na kai filisitia.","for he had possession of flocks, and possession of herds, and great store of servants: and the philistines envied him.","As the earth of animals, the earth of cattle, is greatly its service. The Filisitia people have been oppressing him.","He owned livestock land and cattle land, and he had many servants. The Philistines envied him.","for he had possession of flocks and herds, and had many servants. and the Philistines were afraid of him.","for he possessed flocks, herds, and had many servants. And the Philistines envied him.",
bible,fj->en,statement,bible|genesis|049|024,bible_genesis_verse__fj2en.csv,"ia, sa kaukauwa tikoga na nona veqa ni dakai “na ligana sa vakaukauwataki mai vua na liga kaukauwa ni kalou i jekope (mai vua na i vakatawa levu na vatu kei isireli),","but his bow abode in strength, and the arms of his hands were made strong by the hands of the mighty god of jacob; (from thence is the shepherd, the stone of israel: )","Yes, the powerful hand of God has strengthened his mighty arm, as it is written (from the great stone and Israel),","And, his bow remained strong; ""his hands were strengthened by the mighty hand of the God of Jacob (by the great Shepherd, the Stone of Israel),""","rather, his sword remains strong “his arm is strengthened by the mighty arm of the God of Jacob (from the great shepherd, the rock of Israel),","However, his bow was still strong, ""his hand strengthened by the mighty hand of the God of Jacob (by the Great Shepherd the Rock of Israel),",
bible,fj->en,statement,bible|genesis|026|020,bible_genesis_verse__fj2en.csv,"o ira na dau susu manumanu mai qerari era sa veivala kei ira na dau susu manumanu nei aisake ka tukuna, ""na wai sa neimami"" sa vakayacani kina na wai o ya me eseki, baleta ni ra sa veivala kei koya.","and the herdmen of gerar did strive with isaac's herdmen, saying, the water is ours: and he called the name of the well esek; because they strove with him.","The spirit of the animal warriors from the village fought against the animal warriors of Aisake, and it was said, ""This water is ours,"" thus the water was named to be theirs, because they were battling with him.","The herdsmen from Gerar quarreled with Isaac's herdsmen and said, ""The water is ours."" So he called the well Esek, because they quarreled with him.","And the herdmen of Gerar strove with Isaac's herdmen, saying, The water is ours: and he called the name of the well Esek, because they strove with him.","The herdsmen of the Cherries had fought with Isaac's herdsmen who said, ""The water is ours"" and that water was named Ashe, because they had fought against him.",
bible,fj->en,statement,bible|genesis|042|030,bible_genesis_verse__fj2en.csv,"""na nodra turaga ena vanua, sa vosa vakaukauwa vei keitou, ka tukuna ni keitou sa lako yani me raica lo na vanua.","the man, who is the lord of the land, spake roughly to us, and took us for spies of the country.","""When their leaders in the land spoke strongly to us, they said that we were going to see the land.""","Their chief in the land spoke forcefully to us, telling us that we are to go and personally inspect the land.","""their princes in the land, spoke harshly to us, saying, 'We are going out to spy out the land.","""Their master of the land, however, spoke harshly to us, and told us that we were going out to see the land.",
